ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
5504,Antop Hill,Mumbai,Monica Chinese Fast Food,350.0,3.9,50,$$$,Antop Hill,57.0
5538,Kothapet,Hyderabad,Kinara Grand,750.0,3.9,1000,"North Indian,Chinese,Biryani",Ashta Laxmi Temple,
5549,New Tippasandra,Bangalore,Dal Roti Sabji,150.0,4.5,100,North Indian,80Ft Road,54.0
5573,Ashok Nagar,Bangalore,Mainland China,850.0,4.3,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street,40.0
5582,Vasanth Nagar,Bangalore,Shezan,,4.3,100,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road,44.0
5596,Vasanth Nagar,Bangalore,Dolci Desserts,600.0,4.5,50,"Desserts,Pastas",Cunnigham Road,40.0
5624,Deccan Gymkhana,Pune,Subway,350.0,4.4,100,,Fc Road,35.0
5691,Bandra Area,Mumbai,Smoke House Deli,600.0,4.4,100,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,
5743,Bhawani Peth,Pune,Madinah,200.0,4.0,500,,Poona College,34.0
5802,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800.0,4.5,20,"North Indian,Chinese,Continental",Sector 3,69.0
5862,Basheer Bagh,Hyderabad,Meghacity,500.0,4.4,1000,"North Indian,Chinese",Basheerbagh X Road,32.0
5878,Kalyani Nagar,Pune,Salad Grills,300.0,4.3,100,"Healthy Food,Salads,Fast Food,Continental,North Indian,Chinese",Hermes Parai,63.0
5882,Ashok Nagar,Bangalore,Oh! Calcutta,800.0,4.3,100,Bengali,Church Street,
5893,Shankarapura,Bangalore,Polar Bear,300.0,4.5,100,"Desserts,Fast Food",Vv Puram,38.0
5908,Vasanth Nagar,Bangalore,Miller'S 46,1100.0,4.4,100,"Steakhouse,American,Continental",Cunnigham Road,47.0
5916,Sivanchetti Gardens,Bangalore,Carnival De Goa,500.0,4.1,100,"Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental",Kensington Point,48.0
5989,Elgin,Delhii,The Rouge,400.0,,50,Desserts  Bakery,Near Bishop'S College  Kolkata,51.0
5994,Bidhannagar,Kolkata,The Darjeeling,500.0,4.0,100,"Chinese,Nepalese,Tibetan",Near City Centre 1,73.0
6075,Paschim Vihar,Delhi,London Grill Co,500.0,4.0,1000,"American,Healthy Food,Fast Food,Continental,Salads,Beverages,Desserts",Paschim Vihar,50.0
6328,Mumbai,Mumbai,Mughal Fusions,300.0,3.9,100,,Lbs Marg,38.0
6329,Kurla West,Mumbai,Mughal Darbaar,300.0,3.7,500,,Lbs Marg,40.0
6332,Saki Naka,Mumbai,Naaz Hotel,750.0,,500,"Mughlai,North Indian,Chinese",Kurla West,39.0
6345,Teynampet,Chennai,Amaravathi,650.0,,100,"Indian,Chinese,Andhra,Tandoor",Cathedral Road,
6358,Nandanam,Chennai,Eatalica,500.0,4.5,100,,Ra Puram,69.0
6493,Rajajinagar,Bangalore,Kudla Beach,400.0,3.9,20,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road,59.0
6518,Langford Gardens,Bangalore,Rolls Kitchen,200.0,4.4,500,Fast Food,Shanthi Nagar,35.0
6577,Punjagutta,Hyderabad,Zyqa Restaurant,200.0,4.0,500,"North Indian,Biryani,Chinese",Punjagutta,55.0
6585,Himayatnagar,Hyderabad,Sahara Bakers,200.0,3.8,500,"Bakery,Pizzas",Chikadpally,34.0
6663,Kurla West,Mumbai,Mughal Dhaba,500.0,4.654777134897227,20,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West,36.0
6723,Deccan Gymkhana,Pune,Spring Onion,500.0,4.3,100,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road,39.0
6745,Koti,Hyderabad,Tibbs Frankie,150.0,4.3,100,Snacks,Hanuman Tekdi Road,29.0
6775,Kalighat,Kolkata,Petuk,350.0,4.0,20,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra,70.0
6850,Malleshwaram,Bangalore,Shanthi Sagar Grand,,,100,"North Indian,South Indian,Fast Food",Sampige Road,57.0
6851,Abids,Hyderabad,Agrawala Sweets,,4.3,100,"Sweets,Fast Food",Jn Road,27.0
6917,Powai,Mumbai,Eagle Boys Pizza,600.0,3.7,100,Pizzas  Fast Food,Chandivali,56.0
6924,Richmond Town,Bangalore,Freshmenu,250.0,4.1,1000,"Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas",Aga Abdullah Street,
7002,Himayatnagar,Hyderabad,Angaara,250.0,11.654479558826571,100,"Indian,Chinese,Tandoor",Street 4,33.0
7029,Santacruz East,Mumbai,Golden Wave Restaurant,1000.0,2.9,80,"North Indian,Chinese,Continental",Santacruz East,56.0
7199,Bidhannagar,Kolkata,Afraa Deli-Sector 1,700.0,4.3,50,"Continental,Fast Food,Italian,Beverages",Sector 1,67.0
7204,Bidhannagar,Kolkata, Conclave At Afraa,850.0,,50,"Italian,Indian,Continental",Salt Lake City Centre,75.0
7341,Ashok Nagar,Bangalore,Shiro,1400.0,4.4,100,"Japanese,Asian",Vittal Mallya Road,44.0
7412,Khairtabad,Hyderabad,Paradise Biryani,400.0,3.9,100,Biryani  North Indian  Chinese,Imax Road,48.0
7415,Aundh,Pune,Delhi Kitchen,300.0,4.0,100,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road,69.0
7626,Vishnu Garden,Delhi,Sethi Restaurant,300.0,4.0,1000,North Indian,Pacific Mall,63.0
7674,Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,,4.7,100,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages,Beleghata,
7689,Lake Town,Kolkata,Buddha Bites-Jessore Road,300.0,3.7,1000,"Chinese,Asian,Fast Food,Snacks,Tibetan",Jessore Road,74.0
7776,Gopalapuram,Chennai,The Kati Roll Shop,250.0,-0.6292000235610464,1000,Street Food,Cathedral Road,52.0
7784,Powai Area,Mumbai,Asia Kitchen By Mainland China,850.0,4.3,100,,Powai Area,55.0
7826,Alwarpet,Chennai,Benjarong,1500.0,4.6,100,Thai,Ttk Road,68.0
7828,Mylapore,Chennai,Kaaraikudi,500.0,3.6,100,,Dr Radhakrishnan Salai,
7859,Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,1500.0,4.5,50,"North Indian,Chinese,Thai,Continental",Punjabi Bagh,72.0
7898,Golpark,Kolkata,Crossroad Crystal - Golpark,350.0,4.1,50,"Indian,Chinese,Bengali",Golpark,71.0
7940,Andheri East,Mumbai,99 East,300.0,2.9,80,,Andheri East,57.0
8009,Pashan,Pune,Saffron Multicuisine,400.0,4.5,20,"Mughlai,North Indian,Chinese,Seafood,Tandoor",Orange County Baner Pashan Link Road,68.0
8040,South Kolkata,Delhii,Second House,,2.9,80,"North Indian,Chinese,Kebabs,Biryani,Mughlai",Southern Avenue,84.0
8046,Gariahat,Kolkata,Santa'S Fantasea,1200.0,4.3,100,"Tribal,Seafood,Chinese",Ballygunge Terrace Near Anjali Jewellers Golpark,80.0
8093,Punjagutta,Hyderabad,Akson Restaurant,250.0,4.3,1000,"North Indian,Biryani,Kerala",Panjagutta Road,53.0
8139,Kotturpuram,Chennai,Ciclo Cafe,1100.0,4.4,1000,"Continental,Italian,Italian-American",Alwarpet,71.0
8175,Paschim Vihar,Delhi,Chawla Kitchen,500.0,3.8,500,"Chinese,Mughlai,Indian,Snacks,Popular Brand Store,Fast Food",Punjabi Bagh,48.0
